From	To
ENSG00000004455	P54819
ENSG00000004468	H0Y950
ENSG00000004468	P28907
ENSG00000004478	F5H120
ENSG00000004478	F5H1U3
ENSG00000004478	H0YFG2
ENSG00000004478	H0YG86
ENSG00000004478	Q02790
ENSG00000004487	O60341
ENSG00000004487	R4GMP9
ENSG00000004487	R4GMQ1
ENSG00000004534	C9J250
ENSG00000004534	C9JII0
ENSG00000004534	C9JMC8
ENSG00000004534	C9JSL1
ENSG00000004534	E9PGM9
ENSG00000004534	F8WCA5
ENSG00000004534	F8WCT0
ENSG00000004534	F8WF63
ENSG00000004534	P78332
ENSG00000004660	J3KPJ3
ENSG00000004660	Q8N5S9
ENSG00000004700	F5GYB7
ENSG00000004700	F5H2L2
ENSG00000004700	F5H3W0
ENSG00000004700	F5H4P4
ENSG00000004700	F8WA66
ENSG00000004700	F8WD97
ENSG00000004700	P46063
ENSG00000004766	C9JA29
ENSG00000004766	F2Z3F0
ENSG00000004766	F8WDT1
ENSG00000004766	H0Y7Q2
ENSG00000004766	H7BZP1
ENSG00000004766	Q96JG6
ENSG00000004776	K7EP04
ENSG00000004776	O14558
ENSG00000004777	A0A0A0MQQ9
ENSG00000004777	K7EK14
ENSG00000004777	K7EMC2
ENSG00000004777	K7EQI6
ENSG00000004777	O14559
ENSG00000004779	H3BNE8
ENSG00000004779	H3BNK3
ENSG00000004779	I3L505
ENSG00000004779	O14561
ENSG00000004799	Q16654
ENSG00000004838	C9JUQ8
ENSG00000004838	F2Z3M9
ENSG00000004838	O75800
ENSG00000004848	A0A1B0GUI3
ENSG00000004848	Q96QS3
ENSG00000004864	Q9UJS0
ENSG00000004864	R4GN64
ENSG00000004866	B7Z4L1
ENSG00000004866	B7Z4U3
ENSG00000004866	C9J2Z1
ENSG00000004866	C9JCI7
ENSG00000004866	C9JRQ0
ENSG00000004866	C9JRW1
ENSG00000004866	C9JU30
ENSG00000004866	C9JWK8
ENSG00000004866	C9JX79
ENSG00000004866	C9JZV9
ENSG00000004866	E7EMS3
ENSG00000004866	E7ENZ9
ENSG00000004866	E7EPD9
ENSG00000004866	E7EPW5
ENSG00000004866	E9PCV1
ENSG00000004866	E9PF01
ENSG00000004866	G3XAH9
ENSG00000004866	H7BXS2
ENSG00000004866	Q9NRC1
ENSG00000004897	E9PRZ6
ENSG00000004897	F6QPS0
ENSG00000004897	G5EA36
ENSG00000004897	I3L1K3
ENSG00000004897	I3L225
ENSG00000004897	I3L2Z8
ENSG00000004897	I3L328
ENSG00000004897	I3L394
ENSG00000004897	I3L3G1
ENSG00000004897	I3L3H6
ENSG00000004897	I3L3Y5
ENSG00000004897	K7EMA6
ENSG00000004897	P30260
ENSG00000004961	P53701
ENSG00000004975	I3L0M7
ENSG00000004975	I3L0Z8
ENSG00000004975	I3L2N2
ENSG00000004975	I3L2W9
ENSG00000004975	O14641
ENSG00000005007	Q92900
ENSG00000005020	C9JQ17
ENSG00000005020	O75563
ENSG00000005022	P05141
ENSG00000005059	Q9NWR8
ENSG00000005075	F6S314
ENSG00000005075	P52435
ENSG00000005100	I3L0M5
ENSG00000005100	I3L1L6
ENSG00000005100	Q05BE5
ENSG00000005100	Q9H6R0
ENSG00000005108	A0A087WY08
ENSG00000005108	Q9UPZ6
ENSG00000005156	K7EJR4
ENSG00000005156	K7ELY6
ENSG00000005156	K7ENR9
ENSG00000005156	K7EQB6
ENSG00000005156	K7ERZ5
ENSG00000005156	P49916
ENSG00000005175	Q9H6T3
ENSG00000005189	H3BM72
ENSG00000005189	H3BPB2
ENSG00000005189	H3BQ98
ENSG00000005189	H3BQP3
ENSG00000005189	H3BR13
ENSG00000005189	H3BRC7
ENSG00000005189	H3BRG1
ENSG00000005189	H3BSC5
ENSG00000005189	H3BSE4
ENSG00000005189	H3BUT7
ENSG00000005189	H3BV93
ENSG00000005194	H3BPG7
ENSG00000005194	H3BQ23
ENSG00000005194	H3BT65
ENSG00000005194	H3BTT4
ENSG00000005194	H3BTZ8
ENSG00000005194	H3BUG4
ENSG00000005194	H3BV90
ENSG00000005194	Q6FI81
ENSG00000005206	A0A087WT77
ENSG00000005206	A0A087WWL4
ENSG00000005206	A0A087WZ50
ENSG00000005206	A0A087WZ93
ENSG00000005206	Q8TCT7
ENSG00000005238	Q7L5A3
ENSG00000005243	A0A0G2JLH9
ENSG00000005243	J3KRJ9
ENSG00000005243	J3QL73
ENSG00000005243	J3QLS7
ENSG00000005243	J3QQQ5
ENSG00000005243	J3QS21
ENSG00000005243	Q9P299
ENSG00000005249	P31323
ENSG00000005302	A6NLU8
ENSG00000005302	C9JKR8
ENSG00000005302	C9JXM9
ENSG00000005302	F8WC61
ENSG00000005302	H7BYE4
ENSG00000005302	Q8N5Y2
ENSG00000005339	A0A1B0GUU0
ENSG00000005339	I3L0Q1
ENSG00000005339	I3L293
ENSG00000005339	I3L3I5
ENSG00000005339	I3L466
ENSG00000005339	Q92793
ENSG00000005379	A0A0C4DGN5
ENSG00000005379	J3KSY4
ENSG00000005379	J3KT64
ENSG00000005379	O95153
ENSG00000005381	J3QSF7
ENSG00000005381	P05164
ENSG00000005436	C9JII4
ENSG00000005436	H7C335
ENSG00000005436	P16383
ENSG00000005436	S4R3C1
ENSG00000005436	S4R461
ENSG00000005436	S4R465
ENSG00000005448	B9A049
ENSG00000005448	C9J016
ENSG00000005448	Q9H977
ENSG00000005469	C9J3D7
ENSG00000005469	Q9UKG9
ENSG00000005483	A0A087WYW5
ENSG00000005483	C9JNE1
ENSG00000005483	C9JQ68
ENSG00000005483	C9JYI9
ENSG00000005483	F8WAU9
ENSG00000005483	H7C4F3
ENSG00000005483	H7C5C4
ENSG00000005483	Q8IZD2
ENSG00000005483	S4R363
ENSG00000005486	Q6NTF9
ENSG00000005486	Q9UDT1
ENSG00000005513	P57073
ENSG00000005700	D6R9F4
ENSG00000005700	E7EPI0
ENSG00000005700	E9PDR5
ENSG00000005700	H0Y9N7
ENSG00000005700	Q9P2D0
ENSG00000005801	A0A087WT67
ENSG00000005801	C9JG37
ENSG00000005801	E9PIN4
ENSG00000005801	E9PIT0
ENSG00000005801	E9PIY8
ENSG00000005801	E9PLF5
ENSG00000005801	E9PLW9
ENSG00000005801	E9PMX5
ENSG00000005801	E9PNM0
ENSG00000005801	E9PPF8
ENSG00000005801	E9PSE6
ENSG00000005801	H0YDV1
ENSG00000005801	O14628
ENSG00000005810	A0A087WY34
ENSG00000005810	A0A0C4DGY7
ENSG00000005810	H7C3U4
ENSG00000005810	O75592
ENSG00000005812	C9J0Y7
ENSG00000005812	Q9UKT7
ENSG00000005882	D6R983
ENSG00000005882	D6RDN9
ENSG00000005882	D6RGV8
ENSG00000005882	D6RHG2
ENSG00000005882	D6RJH7
ENSG00000005882	Q15119
ENSG00000005884	D6R9X8
ENSG00000005884	H0YA32
ENSG00000005884	H0YA49
ENSG00000005884	K7EMU3
ENSG00000005884	K7EQJ2
ENSG00000005884	P26006
ENSG00000005889	C9J682
ENSG00000005889	C9JGU9
ENSG00000005889	E9PEP7
ENSG00000005889	P17010
ENSG00000005893	H0YCG2
ENSG00000005893	P13473
ENSG00000005981	Q9Y574
ENSG00000006007	H3BNA5
ENSG00000006007	H3BRL5
ENSG00000006007	H3BU22
ENSG00000006007	Q9NZC3
ENSG00000006015	M0QYI9
ENSG00000006015	M0R0T3
ENSG00000006015	Q96EN9
ENSG00000006016	M0QZL6
ENSG00000006016	O75462
ENSG00000006025	J3QLK7
ENSG00000006025	J3QSC2
ENSG00000006025	Q9BZF2
ENSG00000006042	C9J3Y0
ENSG00000006042	C9J6Q8
ENSG00000006042	J3QLG7
ENSG00000006042	J3QS57
ENSG00000006042	J9JIC8
ENSG00000006042	Q9Y2Y6
ENSG00000006062	A0A087WXF1
ENSG00000006062	Q99558
ENSG00000006071	E9PK50
ENSG00000006071	H0YDH8
ENSG00000006071	H0YE33
ENSG00000006071	H0YEA9
ENSG00000006071	H0YF51
ENSG00000006071	Q09428
ENSG00000006116	O60359
ENSG00000006118	F5H765
ENSG00000006118	H0YFB3
ENSG00000006118	H0YFQ1
ENSG00000006118	H0YFQ2
ENSG00000006118	Q24JP5
ENSG00000006125	A0A087WU93
ENSG00000006125	A0A087WXS3
ENSG00000006125	A0A087WYD1
ENSG00000006125	A0A087WZQ6
ENSG00000006125	A0A087X253
ENSG00000006125	K7EJ01
ENSG00000006125	K7EJX1
ENSG00000006125	K7EKZ5
ENSG00000006125	K7EMN7
ENSG00000006125	K7EN71
ENSG00000006125	K7ERB2
ENSG00000006125	P63010
ENSG00000006128	P20366
ENSG00000006194	B4DI05
ENSG00000006194	I3L0N0
ENSG00000006194	I3L2X3
ENSG00000006194	I3L393
ENSG00000006194	I3L4C4
ENSG00000006194	I3L538
ENSG00000006194	I3NI39
ENSG00000006194	O14978
ENSG00000006210	H3BSR6
ENSG00000006210	H3BV86
ENSG00000006210	J3QRA1
ENSG00000006210	P78423
ENSG00000006282	A0A0U1RRL8
ENSG00000006282	D6R947
ENSG00000006282	D6RC70
ENSG00000006282	D6RIU6
ENSG00000006282	H0Y9M1
ENSG00000006282	H0Y9W3
ENSG00000006282	Q8TB22
ENSG00000006283	A0A0B4J1X2
ENSG00000006283	H0YAN0
ENSG00000006283	I3L2W8
ENSG00000006283	O43497
ENSG00000006327	I3L0S4
ENSG00000006327	I3L1J9
ENSG00000006327	I3L3P4
ENSG00000006327	I3L539
ENSG00000006327	Q9NP84
ENSG00000006377	G3V471
ENSG00000006377	P56179
ENSG00000006432	A0A087WW79
ENSG00000006432	G3V347
ENSG00000006432	G3V4P9
ENSG00000006432	J3KPI6
ENSG00000006432	P80192
ENSG00000006451	C9JPE8
ENSG00000006451	H7C3P7
ENSG00000006451	P11233
ENSG00000006459	H9KVD6
ENSG00000006459	Q6ZMT4
ENSG00000006468	B5MCT2
ENSG00000006468	C9J0B7
ENSG00000006468	C9J4P4
ENSG00000006468	C9J9L1
ENSG00000006468	C9JQH6
ENSG00000006468	C9JX69
ENSG00000006468	F8WEH6
ENSG00000006468	P50549
ENSG00000006530	E9PC15
ENSG00000006530	E9PG39
ENSG00000006530	F8WDD1
ENSG00000006530	Q53H12
ENSG00000006534	A0A087WTE0
ENSG00000006534	A0A087WU54
ENSG00000006534	A0A087WUF8
ENSG00000006534	A0A087X192
ENSG00000006534	A0A087X2D4
ENSG00000006534	P43353
ENSG00000006534	Q9BUJ8
ENSG00000006576	Q8N3S3
ENSG00000006607	C9JVQ5
ENSG00000006607	C9JWM9
ENSG00000006607	H7C210
ENSG00000006607	H7C3E4
ENSG00000006607	H7C3M7
ENSG00000006607	H7C447
ENSG00000006607	O94887
ENSG00000006611	E9PNW1
ENSG00000006611	Q9Y6N9
ENSG00000006625	A0A0B4J1Y4
ENSG00000006625	B8ZZK2
ENSG00000006625	H7BZK5
ENSG00000006625	O75223
ENSG00000006634	B4DXK0
ENSG00000006634	F8WF77
ENSG00000006634	Q9UBU7
ENSG00000006652	C9J311
ENSG00000006652	C9J7U6
ENSG00000006652	C9JA65
ENSG00000006652	C9JFH1
ENSG00000006652	C9JK78
ENSG00000006652	C9JLG5
ENSG00000006652	C9JNM6
ENSG00000006652	E9PMY4
ENSG00000006652	H0YEE3
ENSG00000006652	O00458
ENSG00000006695	H7C101
ENSG00000006695	J3KRW4
ENSG00000006695	J3KSJ3
ENSG00000006695	Q12887
ENSG00000006704	E9PFE2
ENSG00000006704	H7C4Q8
ENSG00000006704	Q9UHL9
ENSG00000006712	B4DGJ5
ENSG00000006712	M0QYC7
ENSG00000006712	Q8N7H5
ENSG00000006715	C9J2U9
ENSG00000006715	C9J3F8
ENSG00000006715	C9JU58
ENSG00000006715	C9JZ11
ENSG00000006715	H7BXH3
ENSG00000006715	H7BZX6
ENSG00000006715	H7C0K2
ENSG00000006715	P49754
ENSG00000006740	A0A087WZS3
ENSG00000006740	E7ERK8
ENSG00000006740	F5H6L3
ENSG00000006740	J3KRS3
ENSG00000006740	J3QQU7
ENSG00000006740	K7EK86
ENSG00000006740	Q17R89
ENSG00000006744	E7ES68
ENSG00000006744	G5E9D5
ENSG00000006744	H7C2I4
ENSG00000006744	J3QL08
ENSG00000006744	J3QLK4
ENSG00000006744	J3QQT1
ENSG00000006744	J3QRS2
ENSG00000006744	Q9BQ52
ENSG00000006744	V9GYS7
ENSG00000006744	V9GYU5
ENSG00000006744	V9GZ72
ENSG00000006747	C9JGB6
ENSG00000006747	E5RHN8
ENSG00000006747	E5RHX6
ENSG00000006747	F8WBX5
ENSG00000006747	Q9Y6U3
ENSG00000006756	H0YMY1
ENSG00000006756	H7C327
ENSG00000006756	P51689
ENSG00000006757	C9IZF6
ENSG00000006757	P41247
ENSG00000006831	Q86V24
ENSG00000006837	B4DX41
ENSG00000006837	E5RFT9
ENSG00000006837	E5RGK4
ENSG00000006837	E5RI54
ENSG00000006837	E7ET86
ENSG00000006837	H0YAP8
ENSG00000006837	H0YB17
ENSG00000006837	Q8IVW4
ENSG00000007001	O95045
ENSG00000007047	K7EK17
ENSG00000007047	K7EKG8
ENSG00000007047	K7EN95
ENSG00000007047	Q6IPE9
ENSG00000007047	Q96GZ3
ENSG00000007047	Q96L34
ENSG00000007062	D6RBI0
ENSG00000007062	D6RCC3
ENSG00000007062	D6RIF3
ENSG00000007062	H0Y9D4
ENSG00000007062	H0Y9M7
ENSG00000007062	H0Y9Q5
ENSG00000007062	O43490
ENSG00000007080	M0R2F5
ENSG00000007080	Q96CT7
ENSG00000007129	A0A0B4J1W4
ENSG00000007129	A0A0J9YX60
ENSG00000007129	Q3KPI0
ENSG00000007168	I3L384
ENSG00000007168	I3L3N5
ENSG00000007168	I3L495
ENSG00000007168	P43034
ENSG00000007171	P35228
ENSG00000007174	E7EP17
ENSG00000007174	J3QLM9
ENSG00000007174	J3QQK8
ENSG00000007174	K7EMX3
ENSG00000007174	K7EP21
ENSG00000007174	Q9NYC9
ENSG00000007202	J3QLM5
ENSG00000007202	K7EMT1
ENSG00000007202	K7EQ86
ENSG00000007202	K7EQR3
ENSG00000007202	Q08E86
ENSG00000007202	Q14667
ENSG00000007237	A0A0A0MS68
ENSG00000007237	J3KS47
ENSG00000007237	J3KTB1
ENSG00000007237	J3QLH8
ENSG00000007237	J3QR80
ENSG00000007237	J3QS26
ENSG00000007237	O60861
ENSG00000007255	O75865
ENSG00000007264	K7EKC4
ENSG00000007264	K7EKS5
ENSG00000007264	K7ENL8
ENSG00000007264	K7EPP2
ENSG00000007264	K7EQV3
ENSG00000007264	K7EQY5
ENSG00000007264	K7ERY4
ENSG00000007264	K7ES68
ENSG00000007264	P42679
ENSG00000007341	H0Y7M0
ENSG00000007341	Q5TEH7
ENSG00000007341	Q8TDW4
ENSG00000007372	B1B1I8
ENSG00000007372	B1B1I9
ENSG00000007372	B1B1J0
ENSG00000007372	E9PKM0
ENSG00000007372	P26367
ENSG00000007376	H3BMZ6
ENSG00000007376	H3BQN8
ENSG00000007376	H3BRG3
ENSG00000007376	H3BS55
ENSG00000007376	H3BSG4
ENSG00000007376	H3BU91
ENSG00000007376	H3BUN6
ENSG00000007376	H3BVD0
ENSG00000007376	Q9UJJ7
ENSG00000007384	A0A1B0GXG1
ENSG00000007384	B8ZZ07
ENSG00000007384	F8WBS4
ENSG00000007384	F8WCF7
ENSG00000007384	H0Y6L9
ENSG00000007384	Q96CC6
ENSG00000007392	A8MYV2
ENSG00000007392	B8ZZ08
ENSG00000007392	B8ZZ09
ENSG00000007392	B8ZZ10
ENSG00000007392	B8ZZ12
ENSG00000007392	F2Z322
ENSG00000007392	F8WBC1
ENSG00000007392	H7C2U4
ENSG00000007392	Q9NQ29
ENSG00000007402	C9JE82
ENSG00000007402	C9JVC9
ENSG00000007402	Q9NY47
ENSG00000007516	H3BPP9
ENSG00000007516	H3BV46
ENSG00000007516	O94812
ENSG00000007520	H3BQD4
ENSG00000007520	Q9UJK0
ENSG00000007541	A0A0U1RQX6
ENSG00000007541	A0A1B0GUF6
ENSG00000007541	A0A1B0GUW1
ENSG00000007541	A0A1B0GVF8
ENSG00000007541	A0A1B0GVV7
ENSG00000007541	A0A1B0GVY0
ENSG00000007541	B8ZZ29
ENSG00000007541	B8ZZ31
ENSG00000007541	E7ERP4
ENSG00000007541	H0YFM9
ENSG00000007541	H7C336
ENSG00000007541	J3QTH6
ENSG00000007541	Q9BRB3
ENSG00000007545	H7C194
ENSG00000007545	Q96RY5
ENSG00000007866	B5MCM0
ENSG00000007866	H7C4A7
ENSG00000007866	Q99594
ENSG00000007908	P16581
ENSG00000007908	Q5TI72
ENSG00000007908	Q5TI73
ENSG00000007908	Q5TI74
ENSG00000007908	Q5TI75
ENSG00000007908	V9GYI4
ENSG00000007923	B1AK20
ENSG00000007923	Q5TH61
ENSG00000007923	Q9NVH1
ENSG00000007944	Q5TIA5
ENSG00000007944	Q8WY64
ENSG00000008018	P20618
ENSG00000008056	P17600
ENSG00000008083	Q92833
ENSG00000008086	A0A096LNR9
ENSG00000008086	A0A096LP32
ENSG00000008086	A0A096LPG3
ENSG00000008086	A0A096LPI4
ENSG00000008086	A0A1B0GTX4
ENSG00000008086	A0A1B0GUM4
ENSG00000008086	O76039
ENSG00000008118	C9IYV2
ENSG00000008118	Q96NX5
ENSG00000008128	E7ESP2
ENSG00000008128	E9PFJ2
ENSG00000008128	J3KS35
ENSG00000008128	Q5QPQ9
ENSG00000008128	Q5QPR3
ENSG00000008128	Q5QPR4
ENSG00000008128	Q9UQ88
ENSG00000008130	A0A0A0MR98
ENSG00000008130	J3KSP9
ENSG00000008130	J3KTI3
ENSG00000008130	J3QR86
ENSG00000008130	J3QRC0
ENSG00000008130	O95544
ENSG00000008256	O43739
ENSG00000008277	E7EPF1
ENSG00000008277	E9PF78
ENSG00000008277	F8WAD8
ENSG00000008277	H7C0Q9
ENSG00000008277	H7C3I4
ENSG00000008277	Q9P0K1
ENSG00000008282	A0A0U1RQT9
ENSG00000008282	C9JYN0
ENSG00000008282	H7C4J8
ENSG00000008282	Q16563
ENSG00000008283	F5H757
ENSG00000008283	J3KSL5
ENSG00000008283	J3QKN3
ENSG00000008283	J3QLS0
ENSG00000008283	J3QR25
ENSG00000008283	J3QRF9
ENSG00000008283	J3QRH5
ENSG00000008283	J3QS09
ENSG00000008283	J3QS47
ENSG00000008283	P49447
ENSG00000008294	A0A087X2D8
ENSG00000008294	D6RHI8
ENSG00000008294	H0Y981
ENSG00000008294	H0YBE9
ENSG00000008294	H0YBS5
ENSG00000008294	O60271
ENSG00000008300	Q9NYQ7
ENSG00000008311	F8WAH1
ENSG00000008311	F8WE53
ENSG00000008311	H7C0C6
ENSG00000008311	Q9UDR5
ENSG00000008324	Q9UHA2
ENSG00000008382	M0QXC4
ENSG00000008382	M0QXK5
ENSG00000008382	M0R044
ENSG00000008382	M0R0F2
ENSG00000008382	M0R189
ENSG00000008382	Q8N594
ENSG00000008382	W4VSR2
ENSG00000008394	F5GX73
ENSG00000008394	F5H613
ENSG00000008394	F5H6X2
ENSG00000008394	F5H760
ENSG00000008394	F5H7F6
ENSG00000008394	P10620
ENSG00000008405	H0YHT0
ENSG00000008405	Q16526
ENSG00000008441	C9JWJ8
ENSG00000008441	K7EJB0
ENSG00000008441	K7EKH0
ENSG00000008441	K7EMQ5
ENSG00000008441	K7EN08
ENSG00000008441	K7EPU2
ENSG00000008441	K7ESG9
ENSG00000008441	Q14938
ENSG00000008513	E5RG72
ENSG00000008513	E5RGI3
ENSG00000008513	E5RGL4
ENSG00000008513	E5RH34
ENSG00000008513	E5RHV6
ENSG00000008513	Q11201
ENSG00000008517	C6GKH1
ENSG00000008517	E9PIV2
ENSG00000008517	E9PK07
ENSG00000008517	F8VSD2
ENSG00000008517	F8VVN4
ENSG00000008517	F8W1V1
ENSG00000008517	P24001
ENSG00000008710	H3BQF4
ENSG00000008710	H3BSE8
ENSG00000008710	H3BSE9
ENSG00000008710	H3BTE0
ENSG00000008710	H3BTG3
ENSG00000008710	H3BV77
ENSG00000008710	I3L4N0
ENSG00000008710	P98161
ENSG00000008735	Q13387
ENSG00000008838	A0A0B4J1W0
ENSG00000008838	B4DDR8
ENSG00000008838	B9TX62
ENSG00000008838	B9TX75
ENSG00000008838	E9PFL1
ENSG00000008838	F5GY88
ENSG00000008838	F5H0M2
ENSG00000008838	F5H2D6
ENSG00000008838	F5H3E6
ENSG00000008838	F5H5K2
ENSG00000008838	H0YEG1
ENSG00000008838	J3KSL1
ENSG00000008838	J3KSU0
ENSG00000008838	J3KTL3
ENSG00000008838	J3QLC0
ENSG00000008838	J3QLC2
ENSG00000008838	J3QLF8
ENSG00000008838	J3QLV7
ENSG00000008838	J3QRH9
ENSG00000008838	O75448
ENSG00000008853	E5RI44
ENSG00000008853	Q9BYZ6
ENSG00000008869	H7C2X3
ENSG00000008869	Q9P2D3
ENSG00000008952	F8WCJ7
ENSG00000008952	F8WDG8
ENSG00000008952	F8WF48
ENSG00000008952	Q99442
ENSG00000008988	E5RIP1
ENSG00000008988	E5RJX2
ENSG00000008988	G3XAN0
ENSG00000008988	P60866
ENSG00000009307	E9PJK7
ENSG00000009307	E9PKN4
ENSG00000009307	E9PLD4
ENSG00000009307	E9PLT0
ENSG00000009307	E9PNG3
ENSG00000009307	O75534
ENSG00000009335	H7C0Y1
ENSG00000009335	Q15386
ENSG00000009413	A0A087WZU4
ENSG00000009413	F2Z3A1
